Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,964,1,964,21.653189577717878
kind,878,2,1842,41.37466307277628
role,400,3,2242,50.35938903863432
event,320,4,2562,57.54716981132076
relator,312,5,2874,64.55525606469003
category,270,6,3144,70.61994609164421
mode,247,7,3391,76.16801437556154
quality,238,8,3629,81.51392632524707
roleMixin,234,9,3863,86.76999101527404
phase,195,10,4058,91.15004492362982
datatype,78,11,4136,92.90206648697215
type,74,12,4210,94.56424079065589
collective,62,13,4272,95.95687331536388
situation,62,14,4334,97.34950584007188
enumeration,38,15,4372,98.20305480682839
historicalRole,23,16,4395,98.71967654986523
phaseMixin,20,17,4415,99.16891284815813
mixin,16,18,4431,99.52830188679245
quantity,11,19,4442,99.77538185085355
historicalRoleMixin,9,20,4451,99.97753818508535
abstract,1,21,4452,100.0
