Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,24,1,24,12.371134020618557
role,22,2,46,23.711340206185564
relator,20,3,66,34.02061855670103
category,20,4,86,44.329896907216494
subkind,19,5,105,54.123711340206185
roleMixin,14,6,119,61.34020618556701
event,12,7,131,67.5257731958763
mode,12,8,143,73.71134020618557
collective,9,9,152,78.35051546391753
phase,8,10,160,82.4742268041237
mixin,8,11,168,86.5979381443299
datatype,6,12,174,89.69072164948454
type,6,13,180,92.78350515463917
quantity,5,14,185,95.36082474226805
situation,4,15,189,97.42268041237114
enumeration,3,16,192,98.96907216494846
quality,2,17,194,100.0
abstract,0,18,194,100.0
phaseMixin,0,19,194,100.0
historicalRole,0,20,194,100.0
historicalRoleMixin,0,21,194,100.0
