Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none,1492,1,1492,37.99337916984975
mediation,625,2,2117,53.90883626177744
characterization,382,3,2499,63.63636363636363
material,311,4,2810,71.55589508530686
componentOf,223,5,3033,77.23453017570665
participation,196,6,3229,82.22561751973517
other,161,7,3390,86.32543926661573
derivation,100,8,3490,88.87191240132417
memberOf,69,9,3559,90.62897886427298
instantiation,67,10,3626,92.33511586452762
externalDependence,67,11,3693,94.04125286478228
creation,60,12,3753,95.56913674560732
historicalDependence,39,13,3792,96.56226126814363
manifestation,31,14,3823,97.35166793990324
bringsAbout,27,15,3850,98.0392156862745
comparative,22,16,3872,98.59943977591037
participational,17,17,3889,99.0323402088108
triggers,14,18,3903,99.38884644766998
subQuantityOf,11,19,3914,99.6689584924879
subCollectionOf,8,20,3922,99.87267634326457
termination,5,21,3927,100.0
