Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
mediation,56,1,56,15.426997245179063
characterization,53,2,109,30.02754820936639
material,35,3,144,39.66942148760331
derivation,29,4,173,47.658402203856745
componentOf,29,5,202,55.64738292011019
participation,27,6,229,63.08539944903582
memberOf,19,7,248,68.31955922865014
externalDependence,19,8,267,73.55371900826447
creation,18,9,285,78.51239669421489
instantiation,16,10,301,82.92011019283747
historicalDependence,15,11,316,87.05234159779614
manifestation,11,12,327,90.08264462809917
bringsAbout,11,13,338,93.1129476584022
triggers,9,14,347,95.59228650137742
comparative,5,15,352,96.96969696969697
participational,4,16,356,98.07162534435263
termination,3,17,359,98.89807162534436
subQuantityOf,2,18,361,99.44903581267218
subCollectionOf,2,19,363,100.0
