Stereotype,x_value,y_value,quadrant
abstract,0,0,Q3
category,285,20,Q1
collective,65,9,Q2
datatype,10,6,Q3
enumeration,23,3,Q3
event,128,12,Q1
historicalRole,0,0,Q3
historicalRoleMixin,0,0,Q3
kind,674,24,Q1
mixin,67,8,Q1
mode,278,12,Q1
phase,135,8,Q1
phaseMixin,0,0,Q3
quality,9,2,Q3
quantity,33,5,Q3
relator,905,20,Q1
role,1436,22,Q1
roleMixin,311,14,Q1
situation,11,4,Q3
subkind,1016,19,Q1
type,136,6,Q4
