Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,143,1,143,12.767857142857142
relator,130,2,273,24.375
role,123,3,396,35.35714285714286
subkind,121,4,517,46.16071428571429
category,101,5,618,55.17857142857143
roleMixin,66,6,684,61.07142857142858
mode,66,7,750,66.96428571428571
collective,62,8,812,72.5
phase,60,9,872,77.85714285714286
event,53,10,925,82.58928571428571
quality,47,11,972,86.78571428571429
datatype,35,12,1007,89.91071428571429
type,28,13,1035,92.41071428571429
mixin,25,14,1060,94.64285714285714
situation,21,15,1081,96.51785714285714
quantity,13,16,1094,97.67857142857143
enumeration,9,17,1103,98.48214285714286
phaseMixin,8,18,1111,99.19642857142857
historicalRole,4,19,1115,99.55357142857143
historicalRoleMixin,3,20,1118,99.82142857142857
abstract,2,21,1120,100.0
