Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,2290,1,2290,18.781267940621667
role,2192,2,4482,36.75879603050931
kind,1912,3,6394,52.439924546871154
relator,1475,4,7869,64.5370294431231
category,623,5,8492,69.64651849421799
roleMixin,606,6,9098,74.61658328549167
mode,564,7,9662,79.24218814073649
event,474,8,10136,83.12966456163372
phase,423,9,10559,86.59886820306734
none,380,10,10939,89.71541048142376
quality,269,11,11208,91.92159435741819
type,219,12,11427,93.7177068809973
collective,198,13,11625,95.34158943656196
datatype,125,14,11750,96.36676781760026
other,110,15,11860,97.26892479291396
mixin,88,16,11948,97.99065037316494
situation,79,17,12027,98.63856310998113
enumeration,67,18,12094,99.18805872221766
quantity,45,19,12139,99.55712293939145
historicalRole,23,20,12162,99.7457557615025
phaseMixin,20,21,12182,99.90978430246862
historicalRoleMixin,9,22,12191,99.98359714590339
abstract,2,23,12193,100.0
