Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,154,1,154,12.068965517241379
relator,141,2,295,23.11912225705329
role,132,3,427,33.46394984326019
subkind,132,4,559,43.808777429467085
category,111,5,670,52.507836990595614
roleMixin,75,6,745,58.38557993730408
mode,73,7,818,64.1065830721003
phase,65,8,883,69.20062695924764
collective,63,9,946,74.13793103448276
event,62,10,1008,78.99686520376176
quality,54,11,1062,83.22884012539184
datatype,37,12,1099,86.12852664576802
type,35,13,1134,88.87147335423198
mixin,27,14,1161,90.98746081504702
situation,24,15,1185,92.86833855799374
none,22,16,1207,94.59247648902821
other,18,17,1225,96.00313479623824
quantity,14,18,1239,97.10031347962382
enumeration,11,19,1250,97.96238244514106
historicalRole,9,20,1259,98.66771159874608
phaseMixin,8,21,1267,99.29467084639498
historicalRoleMixin,6,22,1273,99.76489028213166
abstract,3,23,1276,100.0
