Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,2433,1,2433,14.012555433968785
subkind,2290,2,4723,27.201520474572366
role,2192,3,6915,39.82606692391868
kind,1912,4,8827,50.83798882681564
relator,1475,5,10302,59.333064562575586
material,746,6,11048,63.629557104187064
componentOf,688,7,11736,67.59200598974832
category,623,8,12359,71.18009560559811
roleMixin,606,9,12965,74.67027587398492
characterization,591,10,13556,78.07406554166907
mode,564,11,14120,81.32235212808845
event,474,12,14594,84.052295110292
phase,423,13,15017,86.48851005010656
derivation,291,14,15308,88.16448770373783
quality,269,15,15577,89.71375914300525
memberOf,255,16,15832,91.18239935495018
type,219,17,16051,92.44370212520879
participation,211,18,16262,93.65892990842596
collective,198,19,16460,94.79928583770085
datatype,125,20,16585,95.5192075102229
mixin,88,21,16673,96.0260323676784
situation,79,22,16752,96.48102286471232
externalDependence,77,23,16829,96.92449461498589
instantiation,69,24,16898,97.32189137821806
enumeration,67,25,16965,97.70776939468986
creation,60,26,17025,98.05333179750043
quantity,45,27,17070,98.31250359960836
historicalDependence,44,28,17114,98.56591602833612
subCollectionOf,41,29,17155,98.80205033692334
comparative,38,30,17193,99.02090652537005
manifestation,34,31,17227,99.21672522029603
bringsAbout,30,32,17257,99.38950642170133
historicalRole,23,33,17280,99.52197200944536
phaseMixin,20,34,17300,99.6371594770489
participational,17,35,17317,99.7350688245119
triggers,16,36,17333,99.82721879859471
subQuantityOf,14,37,17347,99.90785002591718
historicalRoleMixin,9,38,17356,99.95968438633876
termination,5,39,17361,99.98848125323964
abstract,2,40,17363,100.0
