Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,143,1,143,8.227848101265822
relator,130,2,273,15.70771001150748
role,123,3,396,22.78481012658228
subkind,121,4,517,29.746835443037973
mediation,116,5,633,36.42117376294591
category,101,6,734,42.232451093210585
material,83,7,817,47.00805523590334
characterization,79,8,896,51.55350978135789
mode,66,9,962,55.35097813578827
roleMixin,66,10,1028,59.148446490218646
componentOf,65,11,1093,62.88837744533947
collective,62,12,1155,66.45569620253164
derivation,61,13,1216,69.96547756041427
phase,60,14,1276,73.41772151898735
event,53,15,1329,76.46720368239356
memberOf,49,16,1378,79.28653624856156
quality,47,17,1425,81.99079401611047
datatype,35,18,1460,84.00460299194476
participation,29,19,1489,85.67318757192174
type,28,20,1517,87.28423475258919
mixin,25,21,1542,88.72266973532797
externalDependence,22,22,1564,89.98849252013808
situation,21,23,1585,91.19677790563865
creation,18,24,1603,92.23245109321059
instantiation,17,25,1620,93.21058688147296
historicalDependence,16,26,1636,94.13118527042577
quantity,13,27,1649,94.87917146144994
bringsAbout,12,28,1661,95.56962025316456
manifestation,12,29,1673,96.26006904487917
subCollectionOf,11,30,1684,96.89298043728424
triggers,10,31,1694,97.46835443037975
enumeration,9,32,1703,97.9861910241657
phaseMixin,8,33,1711,98.44649021864211
comparative,7,34,1718,98.84925201380898
historicalRole,4,35,1722,99.07940161104717
participational,4,36,1726,99.30955120828538
subQuantityOf,4,37,1730,99.5397008055236
historicalRoleMixin,3,38,1733,99.71231300345225
termination,3,39,1736,99.88492520138091
abstract,2,40,1738,100.0
