Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
kind,969,1,969,18.627450980392158
subkind,918,2,1887,36.27450980392157
role,747,3,2634,50.63437139561707
relator,531,4,3165,60.84198385236448
category,323,5,3488,67.05113417916186
event,308,6,3796,72.97193387158785
phase,265,7,4061,78.06612841214917
roleMixin,261,8,4322,83.08342945021145
mode,200,9,4522,86.9281045751634
quality,162,10,4684,90.04229142637448
collective,115,11,4799,92.25297962322185
datatype,108,12,4907,94.32910419069589
type,77,13,4984,95.80930411380238
situation,71,14,5055,97.17416378316032
enumeration,52,15,5107,98.17377931564782
mixin,24,16,5131,98.63514033064206
historicalRole,23,17,5154,99.07727797001154
phaseMixin,20,18,5174,99.46174548250673
quantity,17,19,5191,99.78854286812764
historicalRoleMixin,9,20,5200,99.96155324875048
abstract,2,21,5202,100.0
