Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,126,1,126,13.138686131386862
relator,116,2,242,25.23461939520334
role,108,3,350,36.496350364963504
subkind,106,4,456,47.54953076120959
category,85,5,541,56.41293013555787
roleMixin,55,6,596,62.148070907195
mode,53,7,649,67.67466110531804
collective,52,8,701,73.09697601668404
phase,51,9,752,78.41501564129302
event,45,10,797,83.10740354535974
quality,39,11,836,87.17413972888426
datatype,30,12,866,90.30239833159541
type,21,13,887,92.49217935349321
situation,19,14,906,94.47340980187695
mixin,19,15,925,96.4546402502607
quantity,9,16,934,97.39311783107404
enumeration,8,17,942,98.22732012513035
phaseMixin,8,18,950,99.06152241918666
historicalRole,4,19,954,99.47862356621481
historicalRoleMixin,3,20,957,99.79144942648593
abstract,2,21,959,100.0
