Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,126,1,126,12.701612903225806
relator,116,2,242,24.39516129032258
role,108,3,350,35.28225806451613
subkind,106,4,456,45.96774193548387
category,85,5,541,54.53629032258065
roleMixin,55,6,596,60.08064516129033
mode,53,7,649,65.42338709677419
collective,52,8,701,70.66532258064517
phase,51,9,752,75.80645161290323
event,45,10,797,80.34274193548387
quality,39,11,836,84.2741935483871
datatype,30,12,866,87.29838709677419
type,21,13,887,89.41532258064517
mixin,19,14,906,91.33064516129032
situation,19,15,925,93.24596774193549
other,17,16,942,94.95967741935483
none,16,17,958,96.57258064516128
quantity,9,18,967,97.47983870967742
enumeration,8,19,975,98.28629032258065
phaseMixin,8,20,983,99.09274193548387
historicalRole,4,21,987,99.49596774193549
historicalRoleMixin,3,22,990,99.79838709677419
abstract,2,23,992,100.0
