Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none_r,1640,1,1640,16.333034558310924
kind,969,2,2609,25.983467782093417
mediation,929,3,3538,35.23553430933174
subkind,918,4,4456,44.37804999502042
role,747,5,5203,51.81754805298277
relator,531,6,5734,57.10586594960662
material,397,7,6131,61.05965541280749
characterization,339,8,6470,64.43581316601932
category,323,9,6793,67.65262424061348
event,308,10,7101,70.72004780400358
componentOf,295,11,7396,73.65800219101683
other_r,285,12,7681,76.49636490389403
phase,265,13,7946,79.13554426849916
roleMixin,261,14,8207,81.73488696344987
mode,200,15,8407,83.7267204461707
none_c,177,16,8584,85.48949307837864
quality,162,17,8746,87.10287819938253
derivation,150,18,8896,88.59675331142316
participation,116,19,9012,89.75201673140126
collective,115,20,9127,90.89732098396574
datatype,108,21,9235,91.972911064635
memberOf,98,22,9333,92.94890947116821
other_c,95,23,9428,93.8950303754606
type,77,24,9505,94.66188626630813
externalDependence,71,25,9576,95.36898715267404
situation,71,26,9647,96.07608803903993
instantiation,63,27,9710,96.703515586097
enumeration,52,28,9762,97.22139229160443
historicalDependence,35,29,9797,97.56996315108057
creation,34,30,9831,97.90857484314311
manifestation,34,31,9865,98.24718653520566
bringsAbout,26,32,9891,98.50612488795937
mixin,24,33,9915,98.74514490588588
historicalRole,23,34,9938,98.97420575639877
subCollectionOf,21,35,9959,99.18334827208444
phaseMixin,20,36,9979,99.38253162035654
quantity,17,37,9996,99.55183746638781
triggers,15,38,10011,99.70122497759188
comparative,14,39,10025,99.84065332138233
historicalRoleMixin,9,40,10034,99.93028582810477
termination,3,41,10037,99.96016333034558
abstract,2,42,10039,99.98008166517279
participational,2,43,10041,100.0
subQuantityOf,0,44,10041,100.0
