Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,126,1,126,7.604103802051901
relator,116,2,242,14.604707302353651
role,108,3,350,21.122510561255282
subkind,106,4,456,27.519613759806884
mediation,103,5,559,33.73566686783344
none_r,101,6,660,39.831019915509955
category,85,7,745,44.96077248038624
material,70,8,815,49.1852745926373
characterization,66,9,881,53.168376584188294
roleMixin,55,10,936,56.48762824381413
mode,53,11,989,59.686179843089924
collective,52,12,1041,62.82438141219071
derivation,52,13,1093,65.96258298129149
componentOf,52,14,1145,69.10078455039228
phase,51,15,1196,72.17863608931805
other_r,48,16,1244,75.07543753771877
event,45,17,1289,77.79118889559444
quality,39,18,1328,80.14484007242004
memberOf,38,19,1366,82.4381412190706
datatype,30,20,1396,84.24864212432107
participation,24,21,1420,85.69704284852142
type,21,22,1441,86.96439348219674
externalDependence,20,23,1461,88.17139408569705
situation,19,24,1480,89.31804465902233
mixin,19,25,1499,90.46469523234761
other_c,17,26,1516,91.49064574532288
none_c,16,27,1532,92.45624622812312
instantiation,15,28,1547,93.36149668074833
creation,14,29,1561,94.20639710319854
historicalDependence,14,30,1575,95.05129752564876
manifestation,12,31,1587,95.77549788774894
bringsAbout,11,32,1598,96.43934821967412
quantity,9,33,1607,96.98249849124925
triggers,9,34,1616,97.52564876282437
phaseMixin,8,35,1624,98.0084490042245
enumeration,8,36,1632,98.49124924562463
subCollectionOf,7,37,1639,98.91369945684973
comparative,5,38,1644,99.2154496077248
historicalRole,4,39,1648,99.45684972842487
historicalRoleMixin,3,40,1651,99.6378998189499
abstract,2,41,1653,99.75859987929994
participational,2,42,1655,99.87929993964997
termination,2,43,1657,100.0
subQuantityOf,0,44,1657,100.0
