Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
mediation,103,1,103,15.512048192771086
none,100,2,203,30.57228915662651
material,70,3,273,41.1144578313253
characterization,66,4,339,51.05421686746988
componentOf,52,5,391,58.8855421686747
derivation,52,6,443,66.71686746987952
other,48,7,491,73.94578313253012
memberOf,38,8,529,79.66867469879519
participation,24,9,553,83.28313253012048
externalDependence,20,10,573,86.29518072289156
instantiation,15,11,588,88.55421686746988
creation,14,12,602,90.66265060240963
historicalDependence,14,13,616,92.7710843373494
manifestation,12,14,628,94.57831325301204
bringsAbout,11,15,639,96.23493975903614
triggers,9,16,648,97.59036144578313
subCollectionOf,7,17,655,98.64457831325302
comparative,5,18,660,99.3975903614458
participational,2,19,662,99.69879518072288
termination,2,20,664,100.0
subQuantityOf,0,21,664,100.0
