Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,43,1,43,10.591133004926109
relator,40,2,83,20.44334975369458
role,40,3,123,30.295566502463057
mediation,39,4,162,39.90147783251231
subkind,34,5,196,48.275862068965516
material,29,6,225,55.41871921182266
collective,27,7,252,62.06896551724138
derivation,22,8,274,67.48768472906403
componentOf,20,9,294,72.41379310344827
phase,20,10,314,77.33990147783251
memberOf,18,11,332,81.77339901477832
category,16,12,348,85.71428571428571
roleMixin,13,13,361,88.91625615763546
characterization,11,14,372,91.62561576354679
datatype,9,15,381,93.8423645320197
mode,8,16,389,95.8128078817734
subCollectionOf,5,17,394,97.04433497536947
quality,3,18,397,97.78325123152709
mixin,3,19,400,98.52216748768473
type,2,20,402,99.01477832512316
abstract,1,21,403,99.26108374384236
quantity,1,22,404,99.50738916256158
comparative,1,23,405,99.75369458128078
enumeration,1,24,406,100.0
historicalRoleMixin,0,25,406,100.0
historicalRole,0,26,406,100.0
event,0,27,406,100.0
phaseMixin,0,28,406,100.0
bringsAbout,0,29,406,100.0
situation,0,30,406,100.0
externalDependence,0,31,406,100.0
creation,0,32,406,100.0
manifestation,0,33,406,100.0
instantiation,0,34,406,100.0
historicalDependence,0,35,406,100.0
participation,0,36,406,100.0
participational,0,37,406,100.0
subQuantityOf,0,38,406,100.0
termination,0,39,406,100.0
triggers,0,40,406,100.0
