Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,42,1,42,10.526315789473683
mediation,39,2,81,20.30075187969925
relator,39,3,120,30.075187969924812
role,39,4,159,39.849624060150376
subkind,33,5,192,48.1203007518797
material,29,6,221,55.388471177944865
collective,27,7,248,62.15538847117794
derivation,22,8,270,67.66917293233082
componentOf,20,9,290,72.68170426065163
phase,19,10,309,77.44360902255639
memberOf,18,11,327,81.95488721804512
category,15,12,342,85.71428571428571
roleMixin,12,13,354,88.7218045112782
characterization,11,14,365,91.47869674185463
datatype,9,15,374,93.734335839599
mode,8,16,382,95.73934837092732
subCollectionOf,5,17,387,96.99248120300751
quality,3,18,390,97.74436090225564
mixin,3,19,393,98.49624060150376
type,2,20,395,98.99749373433583
abstract,1,21,396,99.24812030075188
quantity,1,22,397,99.49874686716792
comparative,1,23,398,99.74937343358395
enumeration,1,24,399,100.0
historicalRoleMixin,0,25,399,100.0
historicalRole,0,26,399,100.0
event,0,27,399,100.0
phaseMixin,0,28,399,100.0
bringsAbout,0,29,399,100.0
situation,0,30,399,100.0
externalDependence,0,31,399,100.0
creation,0,32,399,100.0
manifestation,0,33,399,100.0
instantiation,0,34,399,100.0
historicalDependence,0,35,399,100.0
participation,0,36,399,100.0
participational,0,37,399,100.0
subQuantityOf,0,38,399,100.0
termination,0,39,399,100.0
triggers,0,40,399,100.0
