Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,39,1,39,16.883116883116884
role,36,2,75,32.467532467532465
relator,36,3,111,48.05194805194805
subkind,31,4,142,61.471861471861466
collective,24,5,166,71.86147186147186
phase,17,6,183,79.22077922077922
category,14,7,197,85.28138528138528
roleMixin,11,8,208,90.04329004329004
datatype,8,9,216,93.5064935064935
mode,7,10,223,96.53679653679653
mixin,3,11,226,97.83549783549783
quality,2,12,228,98.7012987012987
abstract,1,13,229,99.13419913419914
enumeration,1,14,230,99.56709956709958
type,1,15,231,100.0
historicalRole,0,16,231,100.0
historicalRoleMixin,0,17,231,100.0
phaseMixin,0,18,231,100.0
event,0,19,231,100.0
quantity,0,20,231,100.0
situation,0,21,231,100.0
