Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
role,347,1,347,23.31989247311828
kind,326,2,673,45.22849462365591
subkind,267,3,940,63.17204301075269
relator,228,4,1168,78.49462365591397
phase,91,5,1259,84.61021505376344
collective,66,6,1325,89.04569892473118
category,41,7,1366,91.8010752688172
datatype,37,8,1403,94.28763440860214
roleMixin,30,9,1433,96.30376344086021
mode,21,10,1454,97.71505376344086
quality,18,11,1472,98.9247311827957
type,6,12,1478,99.32795698924731
enumeration,4,13,1482,99.59677419354838
mixin,4,14,1486,99.86559139784946
abstract,1,15,1487,99.93279569892472
quantity,1,16,1488,100.0
historicalRoleMixin,0,17,1488,100.0
phaseMixin,0,18,1488,100.0
event,0,19,1488,100.0
historicalRole,0,20,1488,100.0
situation,0,21,1488,100.0
