Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,2023,1,2023,19.80420949583945
role,1845,2,3868,37.86588350465002
kind,1586,3,5454,53.3920704845815
relator,1247,4,6701,65.59960841899168
category,582,5,7283,71.29711209006364
roleMixin,576,6,7859,76.93587860988742
mode,543,7,8402,82.2515907978463
event,474,8,8876,86.8918257464513
phase,332,9,9208,90.1419481155164
quality,251,10,9459,92.59911894273128
type,213,11,9672,94.6842878120411
collective,132,12,9804,95.97650513950073
datatype,88,13,9892,96.83798335780715
mixin,84,14,9976,97.66030347528145
situation,79,15,10055,98.43367596671561
enumeration,63,16,10118,99.05041605482134
quantity,44,17,10162,99.48115516397455
historicalRole,23,18,10185,99.70631424375918
phaseMixin,20,19,10205,99.90210474791972
historicalRoleMixin,9,20,10214,99.99021047479198
abstract,1,21,10215,100.0
