Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,2103,1,2103,19.4362292051756
role,1892,2,3995,36.92236598890943
kind,1630,3,5625,51.98706099815157
relator,1279,4,6904,63.80776340110905
roleMixin,622,5,7526,69.55637707948244
category,611,6,8137,75.20332717190388
event,591,7,8728,80.66543438077633
mode,575,8,9303,85.97966728280961
phase,357,9,9660,89.27911275415896
type,268,10,9928,91.75600739371535
quality,266,11,10194,94.21441774491683
collective,134,12,10328,95.45286506469502
situation,103,13,10431,96.40480591497227
datatype,90,14,10521,97.23659889094269
mixin,87,15,10608,98.04066543438078
enumeration,75,16,10683,98.73382624768946
historicalRole,51,17,10734,99.20517560073937
quantity,46,18,10780,99.63031423290202
phaseMixin,20,19,10800,99.81515711645102
historicalRoleMixin,18,20,10818,99.9815157116451
abstract,2,21,10820,100.0
