Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,111,1,111,11.384615384615385
relator,101,2,212,21.743589743589745
subkind,98,3,310,31.794871794871792
category,95,4,405,41.53846153846154
role,92,5,497,50.97435897435898
mode,65,6,562,57.64102564102564
roleMixin,62,7,624,64.0
event,62,8,686,70.35897435897436
quality,51,9,737,75.58974358974359
phase,45,10,782,80.2051282051282
collective,36,11,818,83.8974358974359
type,33,12,851,87.28205128205128
datatype,28,13,879,90.15384615384615
situation,24,14,903,92.61538461538461
mixin,24,15,927,95.07692307692308
quantity,13,16,940,96.41025641025641
enumeration,10,17,950,97.43589743589743
historicalRole,9,18,959,98.35897435897436
phaseMixin,8,19,967,99.17948717948718
historicalRoleMixin,6,20,973,99.7948717948718
abstract,2,21,975,100.0
