Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,111,1,111,10.935960591133005
relator,101,2,212,20.88669950738916
subkind,98,3,310,30.541871921182267
category,95,4,405,39.90147783251231
role,92,5,497,48.96551724137931
mode,65,6,562,55.36945812807882
event,62,7,624,61.47783251231527
roleMixin,62,8,686,67.58620689655173
quality,51,9,737,72.61083743842364
phase,45,10,782,77.04433497536945
collective,36,11,818,80.5911330049261
type,33,12,851,83.84236453201972
datatype,28,13,879,86.60098522167488
mixin,24,14,903,88.96551724137932
situation,24,15,927,91.33004926108374
none,22,16,949,93.49753694581281
other,18,17,967,95.27093596059113
quantity,13,18,980,96.55172413793103
enumeration,10,19,990,97.53694581280789
historicalRole,9,20,999,98.42364532019704
phaseMixin,8,21,1007,99.21182266009852
historicalRoleMixin,6,22,1013,99.80295566502463
abstract,2,23,1015,100.0
