Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,2023,1,2023,13.507377979568671
mediation,1967,2,3990,26.64084930226347
role,1845,3,5835,38.959738265340185
kind,1586,4,7421,49.54930894037524
relator,1247,5,8668,57.87540896040596
material,623,6,9291,62.0351205181278
category,582,7,9873,65.92107898778127
roleMixin,576,8,10449,69.76697602991253
characterization,558,9,11007,73.4926887894772
componentOf,551,10,11558,77.17166321693263
mode,543,11,12101,80.79722240769179
event,474,12,12575,83.96207518194565
phase,332,13,12907,86.17880750484076
quality,251,14,13158,87.85471055618615
derivation,219,15,13377,89.31695266074648
type,213,16,13590,90.73913333778461
participation,211,17,13801,92.14796020564866
memberOf,203,18,14004,93.50337183681646
collective,132,19,14136,94.38472324230487
datatype,88,20,14224,94.97229084596381
mixin,84,21,14308,95.53315083127461
situation,79,22,14387,96.06062629365026
externalDependence,77,23,14464,96.57474794685183
instantiation,69,24,14533,97.03545436335715
enumeration,63,25,14596,97.45609935234026
creation,60,26,14656,97.85671362756226
quantity,44,27,14700,98.15049742939173
historicalDependence,44,28,14744,98.44428123122121
comparative,37,29,14781,98.69132670094145
manifestation,34,30,14815,98.91834145690058
bringsAbout,30,31,14845,99.11864859451158
subCollectionOf,27,32,14872,99.29892501836149
historicalRole,23,33,14895,99.45249382386325
phaseMixin,20,34,14915,99.58603191560393
participational,17,35,14932,99.6995392935835
triggers,16,36,14948,99.80636976697603
subQuantityOf,14,37,14962,99.89984643119449
historicalRoleMixin,9,38,14971,99.9599385724778
termination,5,39,14976,99.99332309541296
abstract,1,40,14977,100.0
