Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none_r,2227,1,2227,12.219478737997257
subkind,2023,2,4250,23.319615912208505
mediation,1967,3,6217,34.11248285322359
role,1845,4,8062,44.23593964334705
kind,1586,5,9648,52.93827160493827
relator,1247,6,10895,59.780521262002736
material,623,7,11518,63.198902606310014
category,582,8,12100,66.3923182441701
roleMixin,576,9,12676,69.55281207133059
characterization,558,10,13234,72.61454046639231
componentOf,551,11,13785,75.63786008230453
mode,543,12,14328,78.61728395061729
other_r,531,13,14859,81.53086419753086
event,474,14,15333,84.13168724279836
none_c,380,15,15713,86.2167352537723
phase,332,16,16045,88.03840877914952
quality,251,17,16296,89.41563786008231
derivation,219,18,16515,90.61728395061729
type,213,19,16728,91.78600823045268
participation,211,20,16939,92.94375857338821
memberOf,203,21,17142,94.05761316872427
collective,132,22,17274,94.78189300411522
other_c,110,23,17384,95.38545953360769
datatype,88,24,17472,95.86831275720165
mixin,84,25,17556,96.32921810699588
situation,79,26,17635,96.76268861454047
externalDependence,77,27,17712,97.18518518518519
instantiation,69,28,17781,97.56378600823045
enumeration,63,29,17844,97.90946502057614
creation,60,30,17904,98.23868312757202
quantity,44,31,17948,98.480109739369
historicalDependence,44,32,17992,98.72153635116598
comparative,37,33,18029,98.92455418381344
manifestation,34,34,18063,99.11111111111111
bringsAbout,30,35,18093,99.27572016460906
subCollectionOf,27,36,18120,99.42386831275721
historicalRole,23,37,18143,99.55006858710563
phaseMixin,20,38,18163,99.65980795610425
participational,17,39,18180,99.75308641975309
triggers,16,40,18196,99.84087791495199
subQuantityOf,14,41,18210,99.91769547325103
historicalRoleMixin,9,42,18219,99.96707818930041
termination,5,43,18224,99.99451303155007
abstract,1,44,18225,100.0
