Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,82,1,82,11.341632088520056
relator,73,2,155,21.43845089903181
subkind,71,3,226,31.258644536652834
category,68,4,294,40.66390041493776
role,66,5,360,49.79253112033195
mode,48,6,408,56.43153526970954
quality,47,7,455,62.93222683264177
event,46,8,501,69.29460580912863
roleMixin,43,9,544,75.2420470262794
phase,36,10,580,80.22130013831259
type,25,11,605,83.67911479944675
collective,24,12,629,86.99861687413555
datatype,22,13,651,90.04149377593362
situation,18,14,669,92.5311203319502
mixin,15,15,684,94.6058091286307
historicalRole,9,16,693,95.850622406639
phaseMixin,8,17,701,96.95712309820193
quantity,8,18,709,98.06362378976486
enumeration,6,19,715,98.89349930843707
historicalRoleMixin,6,20,721,99.72337482710927
abstract,2,21,723,100.0
