Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,82,1,82,10.977242302543507
relator,73,2,155,20.74966532797858
subkind,71,3,226,30.254350736278447
category,68,4,294,39.3574297188755
role,66,5,360,48.19277108433735
mode,48,6,408,54.61847389558233
quality,47,7,455,60.91030789825971
event,46,8,501,67.06827309236948
roleMixin,43,9,544,72.82463186077644
phase,36,10,580,77.64390896921017
type,25,11,605,80.99062918340026
collective,24,12,629,84.20348058902276
datatype,22,13,651,87.14859437751004
situation,18,14,669,89.5582329317269
none,15,15,684,91.56626506024097
mixin,15,16,699,93.57429718875501
other,9,17,708,94.77911646586345
historicalRole,9,18,717,95.98393574297188
phaseMixin,8,19,725,97.05488621151271
quantity,8,20,733,98.12583668005355
enumeration,6,21,739,98.92904953145917
historicalRoleMixin,6,22,745,99.73226238286479
abstract,2,23,747,100.0
