Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,964,1,964,14.332441272673208
kind,878,2,1842,27.386262265834077
mediation,625,3,2467,36.67856080880166
role,400,4,2867,42.62563187630092
characterization,382,5,3249,48.30508474576271
event,320,6,3569,53.06274159976212
relator,312,7,3881,57.70145703241154
material,311,8,4192,62.32530478739221
category,270,9,4462,66.3395777579542
mode,247,10,4709,70.011894142135
quality,238,11,4947,73.55040142729705
roleMixin,234,12,5181,77.02943800178413
componentOf,223,13,5404,80.34493012191496
participation,196,14,5600,83.2589949449896
phase,195,15,5795,86.15819209039547
derivation,100,16,5895,87.6449598572703
datatype,78,17,5973,88.80463871543265
type,74,18,6047,89.90484686292001
memberOf,69,19,6116,90.93071662206363
instantiation,67,20,6183,91.92685102586977
externalDependence,67,21,6250,92.92298542967589
collective,62,22,6312,93.84478144513827
situation,62,23,6374,94.76657746060066
creation,60,24,6434,95.65863812072554
historicalDependence,39,25,6473,96.23847754980672
enumeration,38,26,6511,96.80344930121915
manifestation,31,27,6542,97.26434730895033
bringsAbout,27,28,6569,97.66577460600654
historicalRole,23,29,6592,98.00773119238775
comparative,22,30,6614,98.3348201011002
phaseMixin,20,31,6634,98.63217365447518
participational,17,32,6651,98.88492417484389
mixin,16,33,6667,99.12280701754386
triggers,14,34,6681,99.33095450490633
quantity,11,35,6692,99.49449895926257
subQuantityOf,11,36,6703,99.65804341361878
historicalRoleMixin,9,37,6712,99.79185251263752
subCollectionOf,8,38,6720,99.9107939339875
termination,5,39,6725,99.98513232233125
abstract,1,40,6726,100.0
