Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none_r,1700,1,1700,17.33102253032929
subkind,1044,2,2744,27.974309307778572
kind,922,3,3666,37.37384035069834
mediation,673,4,4339,44.23488632888164
characterization,449,5,4788,48.81231522071567
role,447,6,5235,53.369354674278725
event,437,7,5672,57.82444693648689
material,349,8,6021,61.38240391477214
relator,344,9,6365,64.88938729737995
category,299,10,6664,67.93760831889082
roleMixin,280,11,6944,70.79212967682741
mode,279,12,7223,73.63645631562851
quality,253,13,7476,76.21572025690693
participation,249,14,7725,78.75420532164338
componentOf,226,15,7951,81.05821184626365
phase,220,16,8171,83.30105005607096
other_r,170,17,8341,85.03415230910389
none_c,135,18,8476,86.41043939239475
type,129,19,8605,87.72555816087267
externalDependence,113,20,8718,88.8775614231828
creation,107,21,8825,89.96839637068
derivation,101,22,8926,90.99806300336427
instantiation,95,23,9021,91.9665613212356
situation,86,24,9107,92.84330716688756
datatype,80,25,9187,93.65888469772658
memberOf,70,26,9257,94.37251503721072
manifestation,68,27,9325,95.0657559384239
collective,64,28,9389,95.71821796309511
historicalDependence,53,29,9442,96.25853807727597
historicalRole,51,30,9493,96.77846875318585
enumeration,50,31,9543,97.28820470996024
other_c,40,32,9583,97.69599347537975
termination,39,33,9622,98.09358752166378
bringsAbout,36,34,9658,98.46059741054134
comparative,23,35,9681,98.69507595065757
phaseMixin,20,36,9701,98.89897033336732
mixin,19,37,9720,99.09266999694158
triggers,19,38,9739,99.28636966051585
participational,18,39,9757,99.46987460495464
historicalRoleMixin,18,40,9775,99.65337954939342
quantity,13,41,9788,99.78591089815475
subQuantityOf,11,42,9799,99.89805280864512
subCollectionOf,8,43,9807,99.97961056172903
abstract,2,44,9809,100.0
