Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,673,1,673,24.86147026228297
characterization,449,2,1122,41.44809752493535
material,349,3,1471,54.340598448466935
participation,249,4,1720,63.53897303287772
componentOf,226,5,1946,71.88769855929073
externalDependence,113,6,2059,76.06206132249723
creation,107,7,2166,80.0147765053565
derivation,101,8,2267,83.74584410786849
instantiation,95,9,2362,87.25526413003325
memberOf,70,10,2432,89.84115256741781
manifestation,68,11,2500,92.35315847801995
historicalDependence,53,12,2553,94.31104543775398
termination,39,13,2592,95.75175471001108
bringsAbout,36,14,2628,97.08164019209457
comparative,23,15,2651,97.93128925009236
triggers,19,16,2670,98.6331732545253
participational,18,17,2688,99.29811599556704
subQuantityOf,11,18,2699,99.70446989287034
subCollectionOf,8,19,2707,100.0
