Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
characterization,63,1,63,14.383561643835616
mediation,63,2,126,28.767123287671232
material,39,3,165,37.67123287671233
participation,35,4,200,45.662100456621005
componentOf,31,5,231,52.73972602739726
derivation,30,6,261,59.589041095890416
creation,25,7,286,65.29680365296804
externalDependence,25,8,311,71.00456621004567
historicalDependence,21,9,332,75.79908675799086
instantiation,21,10,353,80.59360730593608
memberOf,20,11,373,85.15981735159818
manifestation,19,12,392,89.49771689497716
bringsAbout,14,13,406,92.69406392694064
triggers,11,14,417,95.2054794520548
comparative,6,15,423,96.57534246575342
termination,6,16,429,97.94520547945206
participational,5,17,434,99.08675799086758
subQuantityOf,2,18,436,99.54337899543378
subCollectionOf,2,19,438,100.0
