Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none,84,1,84,15.498154981549817
mediation,63,2,147,27.121771217712176
characterization,63,3,210,38.74538745387454
material,39,4,249,45.94095940959409
participation,35,5,284,52.398523985239855
componentOf,31,6,315,58.11808118081181
derivation,30,7,345,63.65313653136532
creation,25,8,370,68.26568265682657
externalDependence,25,9,395,72.87822878228782
instantiation,21,10,416,76.75276752767527
historicalDependence,21,11,437,80.62730627306273
other,20,12,457,84.31734317343174
memberOf,20,13,477,88.00738007380073
manifestation,19,14,496,91.5129151291513
bringsAbout,14,15,510,94.0959409594096
triggers,11,16,521,96.12546125461255
comparative,6,17,527,97.23247232472325
termination,6,18,533,98.33948339483395
participational,5,19,538,99.2619926199262
subQuantityOf,2,20,540,99.63099630996311
subCollectionOf,2,21,542,100.0
