Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,503,1,503,17.83055654023396
kind,486,2,989,35.05848989719957
role,305,3,1294,45.87025877348458
relator,218,4,1512,53.59801488833747
category,210,5,1722,61.04218362282878
event,187,6,1909,67.67103863878057
roleMixin,177,7,2086,73.94540942928039
phase,150,8,2236,79.26267281105991
quality,131,9,2367,83.90641616448067
mode,124,10,2491,88.30202056008508
type,66,11,2557,90.64161644806806
datatype,64,12,2621,92.91031549096064
situation,56,13,2677,94.89542715349167
enumeration,38,14,2715,96.24246721020914
collective,33,15,2748,97.41226515420064
historicalRole,23,16,2771,98.22757887274017
phaseMixin,20,17,2791,98.93654732364409
mixin,14,18,2805,99.43282523927685
historicalRoleMixin,9,19,2814,99.75186104218362
quantity,6,20,2820,99.96455157745481
abstract,1,21,2821,100.0
