Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,62,1,62,11.397058823529411
relator,56,2,118,21.691176470588236
subkind,52,3,170,31.25
category,50,4,220,40.44117647058824
role,49,5,269,49.44852941176471
mode,34,6,303,55.69852941176471
event,32,7,335,61.58088235294118
quality,32,8,367,67.46323529411765
roleMixin,30,9,397,72.97794117647058
phase,26,10,423,77.75735294117648
collective,18,11,441,81.06617647058823
datatype,17,12,458,84.19117647058823
type,16,13,474,87.13235294117648
situation,14,14,488,89.70588235294117
none,11,15,499,91.72794117647058
mixin,11,16,510,93.75
other,9,17,519,95.40441176470588
phaseMixin,8,18,527,96.875
quantity,5,19,532,97.79411764705883
enumeration,4,20,536,98.52941176470588
historicalRole,4,21,540,99.26470588235294
historicalRoleMixin,3,22,543,99.81617647058823
abstract,1,23,544,100.0
