Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,503,1,503,18.126126126126128
kind,480,2,983,35.42342342342342
role,284,3,1267,45.65765765765766
relator,218,4,1485,53.51351351351351
category,206,5,1691,60.93693693693694
event,187,6,1878,67.67567567567568
roleMixin,171,7,2049,73.83783783783784
phase,143,8,2192,78.990990990991
quality,131,9,2323,83.71171171171171
mode,124,10,2447,88.18018018018017
type,66,11,2513,90.55855855855856
datatype,64,12,2577,92.86486486486486
situation,56,13,2633,94.88288288288288
enumeration,38,14,2671,96.25225225225226
collective,33,15,2704,97.44144144144144
historicalRole,23,16,2727,98.27027027027026
phaseMixin,20,17,2747,98.990990990991
mixin,12,18,2759,99.42342342342342
historicalRoleMixin,9,19,2768,99.74774774774775
quantity,6,20,2774,99.96396396396396
abstract,1,21,2775,100.0
