Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,61,1,61,11.776061776061777
relator,56,2,117,22.586872586872587
subkind,52,3,169,32.625482625482626
category,49,4,218,42.084942084942085
role,48,5,266,51.35135135135135
mode,34,6,300,57.91505791505791
quality,32,7,332,64.0926640926641
event,32,8,364,70.27027027027027
roleMixin,29,9,393,75.86872586872587
phase,25,10,418,80.6949806949807
collective,18,11,436,84.16988416988417
datatype,17,12,453,87.45173745173746
type,16,13,469,90.54054054054053
situation,14,14,483,93.24324324324324
mixin,10,15,493,95.17374517374517
phaseMixin,8,16,501,96.71814671814671
quantity,5,17,506,97.68339768339769
historicalRole,4,18,510,98.45559845559846
enumeration,4,19,514,99.22779922779922
historicalRoleMixin,3,20,517,99.8069498069498
abstract,1,21,518,100.0
