Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,61,1,61,11.359404096834265
relator,56,2,117,21.787709497206702
subkind,52,3,169,31.471135940409685
category,49,4,218,40.59590316573557
role,48,5,266,49.534450651769085
mode,34,6,300,55.865921787709496
event,32,7,332,61.82495344506518
quality,32,8,364,67.78398510242086
roleMixin,29,9,393,73.18435754189943
phase,25,10,418,77.83985102420856
collective,18,11,436,81.19180633147114
datatype,17,12,453,84.35754189944134
type,16,13,469,87.33705772811918
situation,14,14,483,89.94413407821229
none,10,15,493,91.80633147113593
mixin,10,16,503,93.66852886405958
other,9,17,512,95.34450651769087
phaseMixin,8,18,520,96.8342644320298
quantity,5,19,525,97.76536312849163
enumeration,4,20,529,98.51024208566108
historicalRole,4,21,533,99.25512104283054
historicalRoleMixin,3,22,536,99.81378026070763
abstract,1,23,537,100.0
