Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,61,1,61,7.466340269277846
relator,56,2,117,14.320685434516525
subkind,52,3,169,20.685434516523866
category,49,4,218,26.682986536107713
role,48,5,266,32.55813953488372
mediation,48,6,314,38.43329253365973
characterization,45,7,359,43.94124847001224
mode,34,8,393,48.10281517747858
event,32,9,425,52.01958384332925
quality,32,10,457,55.93635250917993
material,29,11,486,59.4859241126071
roleMixin,29,12,515,63.035495716034276
phase,25,13,540,66.09547123623011
derivation,23,14,563,68.91064871481028
componentOf,22,15,585,71.60342717258263
participation,22,16,607,74.29620563035496
externalDependence,18,17,625,76.49938800489596
collective,18,18,643,78.70257037943696
datatype,17,19,660,80.78335373317015
type,16,20,676,82.74173806609546
memberOf,14,21,690,84.45532435740513
situation,14,22,704,86.16891064871481
creation,14,23,718,87.88249694002448
instantiation,14,24,732,89.59608323133415
historicalDependence,13,25,745,91.18727050183598
manifestation,11,26,756,92.53365973072215
mixin,10,27,766,93.7576499388005
bringsAbout,10,28,776,94.98164014687882
phaseMixin,8,29,784,95.9608323133415
triggers,8,30,792,96.94002447980417
quantity,5,31,797,97.55201958384333
historicalRole,4,32,801,98.04161566707467
enumeration,4,33,805,98.531211750306
comparative,4,34,809,99.02080783353733
historicalRoleMixin,3,35,812,99.38800489596083
participational,2,36,814,99.6328029375765
termination,2,37,816,99.87760097919217
abstract,1,38,817,100.0
subQuantityOf,0,39,817,100.0
subCollectionOf,0,40,817,100.0
