Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,61,1,61,6.673960612691467
none_r,61,2,122,13.347921225382933
relator,56,3,178,19.474835886214443
subkind,52,4,230,25.164113785557984
category,49,5,279,30.525164113785557
role,48,6,327,35.776805251641136
mediation,48,7,375,41.02844638949672
characterization,45,8,420,45.951859956236326
mode,34,9,454,49.671772428884026
quality,32,10,486,53.17286652078774
event,32,11,518,56.67396061269147
roleMixin,29,12,547,59.84682713347921
material,29,13,576,63.01969365426696
phase,25,14,601,65.75492341356673
derivation,23,15,624,68.27133479212254
componentOf,22,16,646,70.67833698030634
participation,22,17,668,73.08533916849015
externalDependence,18,18,686,75.054704595186
collective,18,19,704,77.02407002188184
datatype,17,20,721,78.88402625820568
other_r,17,21,738,80.74398249452955
type,16,22,754,82.4945295404814
instantiation,14,23,768,84.02625820568927
situation,14,24,782,85.55798687089715
creation,14,25,796,87.08971553610503
memberOf,14,26,810,88.62144420131291
historicalDependence,13,27,823,90.04376367614879
manifestation,11,28,834,91.2472647702407
mixin,10,29,844,92.34135667396062
none_c,10,30,854,93.43544857768052
bringsAbout,10,31,864,94.52954048140045
other_c,9,32,873,95.51422319474835
phaseMixin,8,33,881,96.38949671772428
triggers,8,34,889,97.26477024070022
quantity,5,35,894,97.81181619256017
historicalRole,4,36,898,98.24945295404814
enumeration,4,37,902,98.6870897155361
comparative,4,38,906,99.12472647702407
historicalRoleMixin,3,39,909,99.45295404814004
participational,2,40,911,99.67177242888403
termination,2,41,913,99.89059080962801
abstract,1,42,914,100.0
subQuantityOf,0,43,914,100.0
subCollectionOf,0,44,914,100.0
