Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
mediation,48,1,48,16.05351170568562
characterization,45,2,93,31.103678929765888
material,29,3,122,40.802675585284284
derivation,23,4,145,48.49498327759198
componentOf,22,5,167,55.852842809364546
participation,22,6,189,63.21070234113713
externalDependence,18,7,207,69.23076923076923
memberOf,14,8,221,73.91304347826086
instantiation,14,9,235,78.59531772575251
creation,14,10,249,83.27759197324414
historicalDependence,13,11,262,87.62541806020067
manifestation,11,12,273,91.30434782608695
bringsAbout,10,13,283,94.64882943143813
triggers,8,14,291,97.32441471571906
comparative,4,15,295,98.66220735785953
participational,2,16,297,99.33110367892976
termination,2,17,299,100.0
subQuantityOf,0,18,299,100.0
subCollectionOf,0,19,299,100.0
