Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none,61,1,61,16.180371352785148
mediation,48,2,109,28.912466843501328
characterization,45,3,154,40.84880636604775
material,29,4,183,48.54111405835544
derivation,23,5,206,54.64190981432361
participation,22,6,228,60.47745358090185
componentOf,22,7,250,66.3129973474801
externalDependence,18,8,268,71.08753315649867
other,17,9,285,75.59681697612733
instantiation,14,10,299,79.3103448275862
memberOf,14,11,313,83.0238726790451
creation,14,12,327,86.73740053050398
historicalDependence,13,13,340,90.18567639257294
manifestation,11,14,351,93.10344827586206
bringsAbout,10,15,361,95.75596816976127
triggers,8,16,369,97.87798408488064
comparative,4,17,373,98.93899204244032
participational,2,18,375,99.46949602122017
termination,2,19,377,100.0
subQuantityOf,0,20,377,100.0
subCollectionOf,0,21,377,100.0
