Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,535,1,535,18.197278911564627
kind,510,2,1045,35.544217687074834
role,313,3,1358,46.19047619047619
relator,227,4,1585,53.91156462585034
category,214,5,1799,61.1904761904762
event,208,6,2007,68.26530612244898
roleMixin,177,7,2184,74.28571428571429
phase,153,8,2337,79.48979591836735
quality,149,9,2486,84.5578231292517
mode,124,10,2610,88.77551020408163
type,66,11,2676,91.02040816326532
datatype,64,12,2740,93.19727891156462
situation,56,13,2796,95.10204081632652
enumeration,38,14,2834,96.39455782312926
collective,33,15,2867,97.51700680272108
historicalRole,23,16,2890,98.29931972789116
phaseMixin,20,17,2910,98.9795918367347
mixin,14,18,2924,99.45578231292517
historicalRoleMixin,9,19,2933,99.76190476190476
quantity,6,20,2939,99.96598639455783
abstract,1,21,2940,100.0
