Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,533,1,533,17.310815199740176
kind,509,2,1042,33.842156544332575
role,306,3,1348,43.78044819746671
relator,226,4,1574,51.12049366677493
category,214,5,1788,58.07080220850926
event,208,6,1996,64.82624228645663
roleMixin,177,7,2173,70.57486196817149
quality,149,8,2322,75.41409548554725
phase,140,9,2462,79.9610263072426
none,124,10,2586,83.98830789217278
mode,124,11,2710,88.01558947710295
type,66,12,2776,90.15914257875933
datatype,64,13,2840,92.23773952582007
situation,56,14,2896,94.05651185449821
other,39,15,2935,95.32315686911335
enumeration,38,16,2973,96.55732380643066
collective,33,17,3006,97.62910035725885
historicalRole,23,18,3029,98.37609613510881
phaseMixin,20,19,3049,99.02565768106528
mixin,14,20,3063,99.48035076323481
historicalRoleMixin,9,21,3072,99.77265345891523
quantity,6,22,3078,99.96752192270218
abstract,1,23,3079,100.0
