Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none,62,1,62,16.145833333333336
mediation,49,2,111,28.90625
characterization,46,3,157,40.88541666666667
material,29,4,186,48.4375
derivation,24,5,210,54.6875
participation,23,6,233,60.677083333333336
componentOf,22,7,255,66.40625
externalDependence,18,8,273,71.09375
other,17,9,290,75.52083333333334
creation,15,10,305,79.42708333333334
memberOf,14,11,319,83.07291666666666
instantiation,14,12,333,86.71875
historicalDependence,13,13,346,90.10416666666666
manifestation,11,14,357,92.96875
bringsAbout,10,15,367,95.57291666666666
triggers,8,16,375,97.65625
comparative,4,17,379,98.69791666666666
participational,3,18,382,99.47916666666666
termination,2,19,384,100.0
subQuantityOf,0,20,384,100.0
subCollectionOf,0,21,384,100.0
