Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none,62,1,62,16.315789473684212
mediation,49,2,111,29.210526315789476
characterization,45,3,156,41.05263157894737
material,29,4,185,48.68421052631579
derivation,24,5,209,55.00000000000001
participation,22,6,231,60.78947368421053
componentOf,22,7,253,66.57894736842105
externalDependence,18,8,271,71.3157894736842
other,17,9,288,75.78947368421053
instantiation,14,10,302,79.47368421052632
memberOf,14,11,316,83.15789473684211
creation,14,12,330,86.8421052631579
historicalDependence,13,13,343,90.26315789473685
manifestation,11,14,354,93.15789473684211
bringsAbout,10,15,364,95.78947368421052
triggers,8,16,372,97.89473684210527
comparative,4,17,376,98.94736842105263
participational,2,18,378,99.47368421052632
termination,2,19,380,100.0
subQuantityOf,0,20,380,100.0
subCollectionOf,0,21,380,100.0
