Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,395,1,395,25.833878351863966
characterization,279,2,674,44.08109875735775
material,225,3,899,58.79659908436887
participation,131,4,1030,67.36429038587312
componentOf,117,5,1147,75.0163505559189
externalDependence,63,6,1210,79.13669064748201
instantiation,61,7,1271,83.12622629169391
derivation,57,8,1328,86.8541530412034
creation,43,9,1371,89.66644865925441
memberOf,36,10,1407,92.02092871157619
manifestation,31,11,1438,94.04839764551994
historicalDependence,30,12,1468,96.01046435578809
bringsAbout,23,13,1491,97.51471550032701
comparative,13,14,1504,98.36494440810988
triggers,13,15,1517,99.21517331589274
participational,9,16,1526,99.80379332897319
termination,3,17,1529,100.0
subQuantityOf,0,18,1529,100.0
subCollectionOf,0,19,1529,100.0
