Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,84,1,84,11.914893617021278
relator,77,2,161,22.836879432624112
subkind,73,3,234,33.191489361702125
category,70,4,304,43.12056737588652
role,69,5,373,52.90780141843972
mode,45,6,418,59.29078014184397
event,45,7,463,65.67375886524822
roleMixin,43,8,506,71.77304964539007
quality,36,9,542,76.87943262411348
phase,32,10,574,81.41843971631205
collective,25,11,599,84.9645390070922
datatype,21,12,620,87.94326241134752
situation,19,13,639,90.63829787234042
type,19,14,658,93.33333333333333
mixin,16,15,674,95.60283687943263
phaseMixin,8,16,682,96.73758865248226
quantity,8,17,690,97.87234042553192
enumeration,7,18,697,98.86524822695036
historicalRole,4,19,701,99.43262411347517
historicalRoleMixin,3,20,704,99.8581560283688
abstract,1,21,705,100.0
