Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none_r,89,1,89,7.259380097879283
kind,84,2,173,14.110929853181077
relator,77,3,250,20.39151712887439
subkind,73,4,323,26.34584013050571
category,70,5,393,32.05546492659054
role,69,6,462,37.68352365415987
mediation,64,7,526,42.90375203915171
characterization,55,8,581,47.38988580750408
event,45,9,626,51.060358890701465
mode,45,10,671,54.730831973898866
roleMixin,43,11,714,58.23817292006525
material,41,12,755,61.582381729200655
quality,36,13,791,64.51876019575856
componentOf,32,14,823,67.12887438825449
phase,32,15,855,69.7389885807504
derivation,30,16,885,72.18597063621533
other_r,28,17,913,74.46982055464927
collective,25,18,938,76.5089722675367
participation,24,19,962,78.46655791190864
datatype,21,20,983,80.17944535073408
externalDependence,20,21,1003,81.81076672104405
memberOf,20,22,1023,83.442088091354
type,19,23,1042,84.99184339314844
situation,19,24,1061,86.5415986949429
other_c,17,25,1078,87.92822185970635
mixin,16,26,1094,89.23327895595432
none_c,16,27,1110,90.53833605220228
instantiation,15,28,1125,91.76182707993475
creation,14,29,1139,92.90375203915171
historicalDependence,14,30,1153,94.04567699836868
manifestation,12,31,1165,95.02446982055464
bringsAbout,11,32,1176,95.92169657422512
triggers,9,33,1185,96.6557911908646
quantity,8,34,1193,97.30831973898859
phaseMixin,8,35,1201,97.96084828711255
enumeration,7,36,1208,98.53181076672104
historicalRole,4,37,1212,98.85807504078304
comparative,4,38,1216,99.18433931484503
historicalRoleMixin,3,39,1219,99.42903752039152
participational,2,40,1221,99.59216965742252
termination,2,41,1223,99.75530179445352
subCollectionOf,2,42,1225,99.9184339314845
abstract,1,43,1226,100.0
subQuantityOf,0,44,1226,100.0
