Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none,1572,1,1572,44.63373083475298
mediation,463,2,2035,57.77967064168086
characterization,306,3,2341,66.4679159568427
material,274,4,2615,74.24758659852357
other,206,5,2821,80.09653605905736
componentOf,158,6,2979,84.58262350936968
participation,116,7,3095,87.87620670073821
derivation,78,8,3173,90.0908574673481
externalDependence,71,9,3244,92.10675752413403
instantiation,63,10,3307,93.89551391254969
memberOf,46,11,3353,95.2015900056786
historicalDependence,35,12,3388,96.19534355479841
creation,34,13,3422,97.16070414537195
manifestation,34,14,3456,98.12606473594549
bringsAbout,26,15,3482,98.86428165814878
triggers,15,16,3497,99.290176036343
comparative,13,17,3510,99.65928449744463
subCollectionOf,7,18,3517,99.8580352072686
termination,3,19,3520,99.94321408290745
participational,2,20,3522,100.0
subQuantityOf,0,21,3522,100.0
