Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,651,1,651,17.748091603053435
kind,637,2,1288,35.11450381679389
role,379,3,1667,45.44711014176663
event,308,4,1975,53.84405670665212
relator,303,5,2278,62.104689203925844
category,278,6,2556,69.68375136314067
roleMixin,225,7,2781,75.81788440567067
mode,179,8,2960,80.6979280261723
phase,167,9,3127,85.25081788440568
quality,144,10,3271,89.17666303162486
situation,71,11,3342,91.1123227917121
type,71,12,3413,93.04798255179935
datatype,71,13,3484,94.98364231188658
collective,49,14,3533,96.31952017448201
enumeration,48,15,3581,97.62813522355506
historicalRole,23,16,3604,98.25517993456924
phaseMixin,20,17,3624,98.80043620501637
mixin,18,18,3642,99.29116684841875
quantity,16,19,3658,99.72737186477644
historicalRoleMixin,9,20,3667,99.97273718647764
abstract,1,21,3668,100.0
