Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,651,1,651,16.778350515463917
kind,637,2,1288,33.19587628865979
role,379,3,1667,42.96391752577319
event,308,4,1975,50.9020618556701
relator,303,5,2278,58.71134020618557
category,278,6,2556,65.87628865979381
roleMixin,225,7,2781,71.67525773195877
mode,179,8,2960,76.28865979381443
phase,167,9,3127,80.59278350515464
quality,144,10,3271,84.30412371134021
none,117,11,3388,87.31958762886597
other,95,12,3483,89.76804123711341
datatype,71,13,3554,91.59793814432989
situation,71,14,3625,93.4278350515464
type,71,15,3696,95.25773195876288
collective,49,16,3745,96.52061855670104
enumeration,48,17,3793,97.75773195876289
historicalRole,23,18,3816,98.35051546391752
phaseMixin,20,19,3836,98.86597938144331
mixin,18,20,3854,99.3298969072165
quantity,16,21,3870,99.74226804123711
historicalRoleMixin,9,22,3879,99.97422680412372
abstract,1,23,3880,100.0
