Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none_r,1532,1,1532,20.857726344452008
subkind,651,2,2183,29.720898570456093
kind,637,3,2820,38.393464942137506
mediation,451,4,3271,44.53369639210347
role,379,5,3650,49.69366916269571
event,308,6,3958,53.886997957794414
characterization,306,7,4264,58.05309734513274
relator,303,8,4567,62.1783526208305
category,278,9,4845,65.96324029952349
material,274,10,5119,69.69366916269571
roleMixin,225,11,5344,72.7569775357386
other_r,206,12,5550,75.56160653505786
mode,179,13,5729,77.99863852961198
phase,167,14,5896,80.27229407760382
componentOf,158,15,6054,82.42341729067392
quality,144,16,6198,84.38393464942138
none_c,117,17,6315,85.97685500340367
participation,116,18,6431,87.55616065350578
other_c,95,19,6526,88.84955752212389
derivation,73,20,6599,89.8434309053778
externalDependence,71,21,6670,90.81007488087134
situation,71,22,6741,91.77671885636487
datatype,71,23,6812,92.7433628318584
type,71,24,6883,93.71000680735195
instantiation,63,25,6946,94.56773315180395
collective,49,26,6995,95.2348536419333
enumeration,48,27,7043,95.88835942818244
memberOf,46,28,7089,96.5146358066712
historicalDependence,35,29,7124,96.99115044247787
creation,34,30,7158,97.45405037440436
manifestation,34,31,7192,97.91695030633085
bringsAbout,26,32,7218,98.27093260721578
historicalRole,23,33,7241,98.58407079646018
phaseMixin,20,34,7261,98.85636487406398
mixin,18,35,7279,99.10142954390741
quantity,16,36,7295,99.31926480599047
triggers,15,37,7310,99.52348536419333
comparative,13,38,7323,99.70047651463581
historicalRoleMixin,9,39,7332,99.82300884955752
subCollectionOf,7,40,7339,99.91831177671887
termination,3,41,7342,99.95915588835943
participational,2,42,7344,99.9863852961198
abstract,1,43,7345,100.0
subQuantityOf,0,44,7345,100.0
