Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none,1532,1,1532,44.21356421356422
mediation,451,2,1983,57.22943722943723
characterization,306,3,2289,66.06060606060606
material,274,4,2563,73.96825396825398
other,206,5,2769,79.91341991341992
componentOf,158,6,2927,84.47330447330448
participation,116,7,3043,87.82106782106783
derivation,73,8,3116,89.92784992784992
externalDependence,71,9,3187,91.97691197691198
instantiation,63,10,3250,93.79509379509379
memberOf,46,11,3296,95.12265512265512
historicalDependence,35,12,3331,96.13275613275614
creation,34,13,3365,97.11399711399712
manifestation,34,14,3399,98.09523809523809
bringsAbout,26,15,3425,98.84559884559884
triggers,15,16,3440,99.27849927849928
comparative,13,17,3453,99.65367965367965
subCollectionOf,7,18,3460,99.85569985569985
termination,3,19,3463,99.94227994227994
participational,2,20,3465,100.0
subQuantityOf,0,21,3465,100.0
