Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none,88,1,88,18.144329896907216
mediation,63,2,151,31.1340206185567
characterization,55,3,206,42.47422680412371
material,41,4,247,50.92783505154639
componentOf,32,5,279,57.52577319587628
derivation,29,6,308,63.50515463917525
other,28,7,336,69.27835051546391
participation,24,8,360,74.22680412371135
memberOf,20,9,380,78.35051546391753
externalDependence,20,10,400,82.4742268041237
instantiation,15,11,415,85.56701030927834
creation,14,12,429,88.45360824742268
historicalDependence,14,13,443,91.34020618556701
manifestation,12,14,455,93.81443298969072
bringsAbout,11,15,466,96.08247422680412
triggers,9,16,475,97.9381443298969
comparative,4,17,479,98.76288659793815
participational,2,18,481,99.17525773195877
subCollectionOf,2,19,483,99.58762886597938
termination,2,20,485,100.0
subQuantityOf,0,21,485,100.0
