Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,685,1,685,17.52814738996929
kind,678,2,1363,34.877175025588535
role,413,3,1776,45.445240532241556
event,346,4,2122,54.29887410440123
relator,313,5,2435,62.30808597748209
category,293,6,2728,69.80552712384852
roleMixin,234,7,2962,75.79324462640737
mode,189,8,3151,80.62947799385876
phase,177,9,3328,85.15864892528148
quality,162,10,3490,89.30399181166837
type,90,11,3580,91.60696008188332
situation,71,12,3651,93.42374616171955
datatype,71,13,3722,95.24053224155578
collective,49,14,3771,96.49437052200615
enumeration,48,15,3819,97.72262026612077
historicalRole,23,16,3842,98.31115660184237
mixin,20,17,3862,98.82292732855682
phaseMixin,20,18,3882,99.33469805527125
quantity,16,19,3898,99.74411463664279
historicalRoleMixin,9,20,3907,99.97441146366428
abstract,1,21,3908,100.0
