Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,86,1,86,11.911357340720222
relator,79,2,165,22.85318559556787
subkind,75,3,240,33.2409972299169
category,72,4,312,43.21329639889196
role,71,5,383,53.04709141274239
event,47,6,430,59.556786703601105
mode,46,7,476,65.92797783933518
roleMixin,44,8,520,72.02216066481995
quality,37,9,557,77.14681440443213
phase,33,10,590,81.7174515235457
collective,25,11,615,85.18005540166205
datatype,21,12,636,88.08864265927978
type,20,13,656,90.85872576177285
situation,19,14,675,93.49030470914127
mixin,16,15,691,95.70637119113573
phaseMixin,8,16,699,96.81440443213296
quantity,8,17,707,97.92243767313019
enumeration,7,18,714,98.89196675900277
historicalRole,4,19,718,99.44598337950139
historicalRoleMixin,3,20,721,99.86149584487535
abstract,1,21,722,100.0
