Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,681,1,681,16.405685377017587
kind,673,2,1354,32.618646109371234
role,402,3,1756,42.30305950373404
event,346,4,2102,50.63840038544929
relator,310,5,2412,58.106480366176825
category,290,6,2702,65.09274873524453
roleMixin,232,7,2934,70.68176343049868
none,204,8,3138,75.59624186942905
mode,189,9,3327,80.14936159961455
quality,162,10,3489,84.05203565405927
phase,156,11,3645,87.81016622500603
type,90,12,3735,89.97831847747531
other,88,13,3823,92.09828956877861
datatype,71,14,3894,93.80872079017104
situation,71,15,3965,95.51915201156348
collective,49,16,4014,96.6995904601301
enumeration,48,17,4062,97.85593832811371
historicalRole,23,18,4085,98.41002168152252
mixin,20,19,4105,98.89183329318236
phaseMixin,20,20,4125,99.37364490484221
quantity,16,21,4141,99.75909419417009
historicalRoleMixin,9,22,4150,99.97590941941701
abstract,1,23,4151,100.0
