Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,86,1,86,11.375661375661375
relator,79,2,165,21.825396825396826
subkind,75,3,240,31.746031746031743
category,72,4,312,41.269841269841265
role,71,5,383,50.661375661375665
event,47,6,430,56.87830687830689
mode,46,7,476,62.96296296296296
roleMixin,44,8,520,68.78306878306879
quality,37,9,557,73.67724867724867
phase,33,10,590,78.04232804232805
collective,25,11,615,81.34920634920636
datatype,21,12,636,84.12698412698413
type,20,13,656,86.77248677248677
situation,19,14,675,89.28571428571429
none,17,15,692,91.53439153439153
other,17,16,709,93.78306878306879
mixin,16,17,725,95.8994708994709
quantity,8,18,733,96.95767195767195
phaseMixin,8,19,741,98.01587301587301
enumeration,7,20,748,98.94179894179894
historicalRole,4,21,752,99.47089947089947
historicalRoleMixin,3,22,755,99.86772486772487
abstract,1,23,756,100.0
