Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none_r,1668,1,1668,21.068586585827966
subkind,685,2,2353,29.720853858784896
kind,678,3,3031,38.28470380194518
mediation,481,4,3512,44.36023746368574
role,413,5,3925,49.57685992168751
event,346,6,4271,53.947202223064295
characterization,325,7,4596,58.05229253505115
relator,313,8,4909,62.005810281672346
category,293,9,5202,65.70670708601743
material,276,10,5478,69.19287608942781
roleMixin,234,11,5712,72.14854111405835
none_c,211,12,5923,74.81369205507137
other_r,206,13,6129,77.41568776051535
mode,189,14,6318,79.80295566502463
phase,177,15,6495,82.03865100416824
quality,162,16,6657,84.08488063660478
componentOf,158,17,6815,86.08058608058609
participation,146,18,6961,87.92471895920173
other_c,95,19,7056,89.12466843501326
type,90,20,7146,90.26146267525577
derivation,78,21,7224,91.24668435013263
externalDependence,71,22,7295,92.14348869521284
datatype,71,23,7366,93.04029304029304
situation,71,24,7437,93.93709738537325
instantiation,63,25,7500,94.732853353543
collective,49,26,7549,95.3517746621195
enumeration,48,27,7597,95.95806492358217
memberOf,46,28,7643,96.53909309081723
creation,43,29,7686,97.08222811671088
historicalDependence,35,30,7721,97.52431476569407
manifestation,34,31,7755,97.95377036756348
bringsAbout,26,32,7781,98.28217759252243
historicalRole,23,33,7804,98.57269167613995
phaseMixin,20,34,7824,98.82531261841606
mixin,20,35,7844,99.07793356069217
quantity,16,36,7860,99.28003031451307
triggers,15,37,7875,99.46949602122017
comparative,13,38,7888,99.63369963369964
participational,9,39,7897,99.74737905772389
historicalRoleMixin,9,40,7906,99.86105848174813
subCollectionOf,7,41,7913,99.94947581154477
termination,3,42,7916,99.98736895288619
abstract,1,43,7917,100.0
subQuantityOf,0,44,7917,100.0
