Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,651,1,651,17.528271405492728
kind,643,2,1294,34.84114162627894
role,400,3,1694,45.611200861604736
event,308,4,2002,53.9041464728056
relator,303,5,2305,62.06246634356489
category,282,6,2587,69.65535810446958
roleMixin,231,7,2818,75.87506731287023
mode,179,8,2997,80.69466882067852
phase,174,9,3171,85.37964458804524
quality,144,10,3315,89.25686591276252
situation,71,11,3386,91.16855142703285
type,71,12,3457,93.08023694130317
datatype,71,13,3528,94.9919224555735
collective,49,14,3577,96.31125471190092
enumeration,48,15,3625,97.60366182014
historicalRole,23,16,3648,98.22294022617125
mixin,20,17,3668,98.76144318793753
phaseMixin,20,18,3688,99.29994614970383
quantity,16,19,3704,99.73074851911686
historicalRoleMixin,9,20,3713,99.97307485191168
abstract,1,21,3714,100.0
