Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,651,1,651,16.33216256899147
kind,643,2,1294,32.46362267937782
role,400,3,1694,42.49874560963372
event,308,4,2002,50.22579026593076
relator,303,5,2305,57.8273958855996
category,282,6,2587,64.90215755143001
roleMixin,231,7,2818,70.69744104365279
mode,179,8,2997,75.18815855494229
none,177,9,3174,79.62870045158054
phase,174,10,3348,83.99397892624184
quality,144,11,3492,87.60662318113397
other,95,12,3587,89.98996487706974
datatype,71,13,3658,91.77119919719017
situation,71,14,3729,93.55243351731059
type,71,15,3800,95.33366783743101
collective,49,16,3849,96.56297039638736
enumeration,48,17,3897,97.76718514801807
historicalRole,23,18,3920,98.34420471650778
mixin,20,19,3940,98.84596086302058
phaseMixin,20,20,3960,99.34771700953337
quantity,16,21,3976,99.7491219267436
historicalRoleMixin,9,22,3985,99.97491219267435
abstract,1,23,3986,100.0
