Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
mediation,64,1,64,17.25067385444744
characterization,55,2,119,32.075471698113205
material,41,3,160,43.126684636118604
componentOf,32,4,192,51.75202156334232
derivation,30,5,222,59.83827493261455
participation,24,6,246,66.30727762803235
memberOf,20,7,266,71.69811320754717
externalDependence,20,8,286,77.088948787062
instantiation,15,9,301,81.13207547169812
creation,14,10,315,84.90566037735849
historicalDependence,14,11,329,88.67924528301887
manifestation,12,12,341,91.91374663072777
bringsAbout,11,13,352,94.87870619946092
triggers,9,14,361,97.30458221024259
comparative,4,15,365,98.38274932614556
participational,2,16,367,98.92183288409704
subCollectionOf,2,17,369,99.46091644204851
termination,2,18,371,100.0
subQuantityOf,0,19,371,100.0
