Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,92,1,92,11.19221411192214
relator,85,2,177,21.532846715328464
subkind,80,3,257,31.265206812652067
category,78,4,335,40.75425790754258
role,76,5,411,50.0
mode,51,6,462,56.20437956204379
event,49,7,511,62.165450121654494
roleMixin,49,8,560,68.1265206812652
quality,37,9,597,72.62773722627736
phase,36,10,633,77.00729927007299
collective,30,11,663,80.65693430656934
type,24,12,687,83.57664233576642
datatype,23,13,710,86.37469586374696
mixin,20,14,730,88.80778588807786
situation,20,15,750,91.24087591240875
other,19,16,769,93.55231143552312
none,19,17,788,95.86374695863748
quantity,10,18,798,97.08029197080292
enumeration,8,19,806,98.05352798053528
phaseMixin,8,20,814,99.02676399026764
historicalRole,4,21,818,99.51338199513383
historicalRoleMixin,3,22,821,99.87834549878345
abstract,1,23,822,100.0
